금융회사명,상품명,가입방법,만기이자,우대조건,가입대상,금리유형,적립유형,저축기간(개월),기본금리(%),최고우대금리(%),금융권
경남은행,따듯한햇살론뱅크,,"여신금리(이자)는별도로 정한 경우를 제외하고 다음과 같이 계산합니다.
- 이자는대출원금에 실행이율과 일수를 곱한 후 365일(윤년의 경우366일)로 나누어 산출하되, 원단위미만은 절사
- 일수계산은여신당일로부터 기일 또는 상환일(일부상환 및 분할상환 포함) 전일까지로한다(한편넣기)
- 이자계산방법 : 대출원금×대출이자율×이자일수÷365(윤년은 366일)
- 정책자금대출, 외부기관협약대출, 서민금융상품 등 일부 상품의 경우 상기 내용과다르게 적용될 수 있습니다.
※자세한 내용은 첨부된 「가계대출 상품설명서 」 및 「은행여신거래기본약관(가계용) 」등을 참조하여 주시기 바랍니다.
여신금리(이자)는별도로 정한 경우를 제외하고 다음과 같이 계산합니다.
- 이자는대출원금에 실행이율과 일수를 곱한 후 365일(윤년의 경우366일)로 나누어 산출하되, 원단위미만은 절사
- 일수계산은여신당일로부터 기일 또는 상환일(일부상환 및 분할상환 포함) 전일까지로한다(한편넣기)
- 이자계산방법 : 대출원금×대출이자율×이자일수÷365(윤년은 366일)
- 정책자금대출, 외부기관협약대출, 서민금융상품 등 일부 상품의 경우 상기 내용과다르게 적용될 수 있습니다.
※자세한 내용은 첨부된 「가계대출 상품설명서 」 및 「은행여신거래기본약관(가계용) 」등을 참조하여 주시기 바랍니다.",,"<신청대상>
대한민국 국민으로 민법상 성년으로 「서민금융진흥원」의 신용보증서 발급이 가능한 자로 다음 각 1에 해당하는 자로 한다. 다음 가, 나, 다에 해당 여부는 서민금융진흥원의 신용보증서 신청시 확인 가능하다.
가. 소득·신용요건
(1) 연소득 35백만원 이하 : 개인신용평점 무관
(2) 연소득 45백만원 이하 : 개인신용평점<주> 하위 100분의 20에 해당하는 자
<주> 개인신용평점 : KCB, NICE 중 하위누적구성비가 낮은 CB사의 개인신용평점 기준
나. 정책서민금융 성실상환 : 정책서민금융상품<주> 을 6개월 이상 성실하게 상환한 이용자(현재 정상이용 중이거나, 최근 3년 이내 정상완제자)
  '대출실행 후 연체일수가 없는 고객에 대하여 1년 단위로 0.1% 감면 적용
  (대출기간 3년 약정 : 최대감면율 0.2%, 대출기간 5년 약정 : 최대감면율 0.4%)
<주> 미소금융, 근로자햇살론, 사업자햇살론, 햇살론유스, 햇살론15, 햇살론17, 바꿔드림론, 안전망대출, 안정망대출II, 새희망홀씨
다. 부채·신용도 개선 : 부채 또는 신용도가 보증신청일 기준 1년 전 대비 개선 
(1) 부채개선 : 보증신청일 기준 1년 전 대비 신청자가 보유한 전체 부채잔액이 감소
(2) 신용도개선 : 보증신청일 기준 1년 전 대비 KCB 또는 NICE가 평가한 CB평점이 상승
※건강보험료를 납부중인 급여소득자 및 개인사업자에 한하며, 연소득은 전자적인방식을 통한 건강보험료 납부액을 기준으로 산출한다. 단, 신청일 현재 3개월이상 재직(사업영위)중이어야 하며, 재직(사업영위)기간은 건강보험료 자격취득일(사업자등록일)을 기준으로 한다.
<주>전자적인방식 : 스크래핑, 공공 마이데이터 등
<신청대상>
대한민국 국민으로 민법상 성년으로 「서민금융진흥원」의 신용보증서 발급이 가능한 자로 다음 각 1에 해당하는 자로 한다. 다음 가, 나, 다에 해당 여부는 서민금융진흥원의 신용보증서 신청시 확인 가능하다.
가. 소득·신용요건
(1) 연소득 35백만원 이하 : 개인신용평점 무관
(2) 연소득 45백만원 이하 : 개인신용평점<주> 하위 100분의 20에 해당하는 자
<주> 개인신용평점 : KCB, NICE 중 하위누적구성비가 낮은 CB사의 개인신용평점 기준
나. 정책서민금융 성실상환 : 정책서민금융상품<주> 을 6개월 이상 성실하게 상환한 이용자(현재 정상이용 중이거나, 최근 3년 이내 정상완제자)
  '대출실행 후 연체일수가 없는 고객에 대하여 1년 단위로 0.1% 감면 적용
  (대출기간 3년 약정 : 최대감면율 0.2%, 대출기간 5년 약정 : 최대감면율 0.4%)
<주> 미소금융, 근로자햇살론, 사업자햇살론, 햇살론유스, 햇살론15, 햇살론17, 바꿔드림론, 안전망대출, 안정망대출II, 새희망홀씨
다. 부채·신용도 개선 : 부채 또는 신용도가 보증신청일 기준 1년 전 대비 개선 
(1) 부채개선 : 보증신청일 기준 1년 전 대비 신청자가 보유한 전체 부채잔액이 감소
(2) 신용도개선 : 보증신청일 기준 1년 전 대비 KCB 또는 NICE가 평가한 CB평점이 상승
※건강보험료를 납부중인 급여소득자 및 개인사업자에 한하며, 연소득은 전자적인방식을 통한 건강보험료 납부액을 기준으로 산출한다. 단, 신청일 현재 3개월이상 재직(사업영위)중이어야 하며, 재직(사업영위)기간은 건강보험료 자격취득일(사업자등록일)을 기준으로 한다.
<주>전자적인방식 : 스크래핑, 공공 마이데이터 등","변동금리
변동금리",정보 없음,"1)대출기간 : 3년 또는 5년 (거치기간을 희망하는 경우에는 1년 거치 가능)
2)상환방식 : 원리금균등상환방식
1)대출기간 : 3년 또는 5년 (거치기간을 희망하는 경우에는 1년 거치 가능)
2)상환방식 : 원리금균등상환방식","본 상품은 변동금리가 적용되는 상품입니다. 
최저금리 : 연 5.62%
(당행내부 AS 1등급, 대출기간 3년 기준, 대출금액 2,000만원 기준, 금융채(변동) 2.67%, 교육세 포함)
최고금리 : 연 7.86%
(당행내부 AS 8등급, 대출기간 5년 기준, 대출금액 500만원 기준, 금융채(변동) 2.67%, 교육세 포함)
※금리조회일 : 2025.04.18 - 2.67%
※기준금리 : 금융채(변동)
※변동주기 : 12개월
※적용금리 = 산출금리 + 교육세
※교육세는 최종 산출된 금리에서 교육세 보전금리를 적용한다
<주>교육세 보전금리 = 최종산출금리 × 0.5% (소수점 셋째자리 절사)
※대출금리는 변동금리이고 기준일 신용등급, 대출금액, 대출기간, 시장금리 등에 따라 변동될 수 있습니다.
※금리정보는 광고 심의일 기준으로 산정되었으며, 정확한 금리정보는 경남은행 홈페이지 또는 영업점에서 확인해주시기 바랍니다.
본 상품은 변동금리가 적용되는 상품입니다. 
최저금리 : 연 5.62%
(당행내부 AS 1등급, 대출기간 3년 기준, 대출금액 2,000만원 기준, 금융채(변동) 2.67%, 교육세 포함)
최고금리 : 연 7.86%
(당행내부 AS 8등급, 대출기간 5년 기준, 대출금액 500만원 기준, 금융채(변동) 2.67%, 교육세 포함)
※금리조회일 : 2025.04.18 - 2.67%
※기준금리 : 금융채(변동)
※변동주기 : 12개월
※적용금리 = 산출금리 + 교육세
※교육세는 최종 산출된 금리에서 교육세 보전금리를 적용한다
<주>교육세 보전금리 = 최종산출금리 × 0.5% (소수점 셋째자리 절사)
※대출금리는 변동금리이고 기준일 신용등급, 대출금액, 대출기간, 시장금리 등에 따라 변동될 수 있습니다.
※금리정보는 광고 심의일 기준으로 산정되었으며, 정확한 금리정보는 경남은행 홈페이지 또는 영업점에서 확인해주시기 바랍니다.",,2금융권
지역농협,NH 햇살론,영업점,,,"연간소득 4,500만원이하이며, 다음에 해당하는 자
근로자
자영업자
신용등급 6등급이하 또는 연간소득 3,500만원 이하의 3개월 이상 재직중인 근로자
신용등급 6등급이하 또는 연간소득 3,500만원 이하의 자영업자(농림어업인 포함)
연간소득 4,500만원이하이며, 다음에 해당하는 자
 근로자
신용등급 6등급이하 또는 연간소득 3,500만원 이하의 3개월 이상 재직중인 근로자
  자영업자
신용등급 6등급이하 또는 연간소득 3,500만원 이하의 자영업자(농림어업인 포함)",,정보 없음,,"대출 신규일에 농·축협별로 고시한 이율 적용
대출 신규일에 농·축협별로 고시한 이율 적용",,2금융권
진주저축은행,햇살론,"인터넷, 모바일, 자체앱
인터넷, 모바일, 자체앱",,"최대 1.5%
최대 1.5%","직장인 (4대보험 미가입자 포함) / CB사 하위 80% 해당고객
직장인 (4대보험 미가입자 포함) / CB사 하위 80% 해당고객","1년 변동금리
1년 변동금리",정보 없음,"최대 60개월 이내
최대 60개월 이내","6.18% ~ 9.42% 이내","최대 1.5%
최대 1.5%",2금융권
융창저축은행,근로자햇살론,"온라인/오프라인
온라인/오프라인",,,"연소득 3,500만원 이하, 또는 연소득 4,500만원 이하이면서 
개인신용평점 하위 20%이하의 최근 1년 내 3개월 이상 
재직 및 현직장 1개월 이상 근무중인 근로자 (4대보험미가입자/프리랜서 제외)
연소득 3,500만원 이하, 또는 연소득 4,500만원 이하이면서 
개인신용평점 하위 20%이하의 최근 1년 내 3개월 이상 
재직 및 현직장 1개월 이상 근무중인 근로자 (4대보험미가입자/프리랜서 제외)","변동금리(12개월 단위 변동)
변동금리(12개월 단위 변동)",정보 없음,"3년 또는 5년
3년 또는 5년","-금리 연 11.5%이내(기준일자 2025.01.03)
 매월 금융감독원에서 통보하는 상한금리 이내에서 고객신용도별 햇살론 
 적용 금리
-변동금리(저축은행 전체 전전월 1년 만기 정기예금 가중평균금리에 연동)
-금리정보는 광고게시 시점 기준으로 산정되었으며, 자세한 금리정보는 해당 금융기관 홈페이지 또는 영업점에서 확인 필요
-금리 연 11.5%이내(기준일자 2025.01.03)
 매월 금융감독원에서 통보하는 상한금리 이내에서 고객신용도별 햇살론 
 적용 금리
-변동금리(저축은행 전체 전전월 1년 만기 정기예금 가중평균금리에 연동)
-금리정보는 광고게시 시점 기준으로 산정되었으며, 자세한 금리정보는 해당 금융기관 홈페이지 또는 영업점에서 확인 필요",,2금융권
융창저축은행,온라인햇살론,"온라인
온라인",,,"연소득 3,500만원 이하, 또는 연소득 4,500만원 이하이면서 
개인신용평점 하위 20%이하의 최근 1년 내 3개월 이상 
재직 및 현직장 1개월 이상 근무중인 근로자 (4대보험미가입자/프리랜서 제외)
연소득 3,500만원 이하, 또는 연소득 4,500만원 이하이면서 
개인신용평점 하위 20%이하의 최근 1년 내 3개월 이상 
재직 및 현직장 1개월 이상 근무중인 근로자 (4대보험미가입자/프리랜서 제외)","변동금리(12개월 단위 변동)
변동금리(12개월 단위 변동)",정보 없음,"3년 또는 5년
3년 또는 5년","-일반 햇살론 금리 –0.5% 적용(기준일자 2025.01.03)
매월 금융감독원에서 통보하는 상한금리 이내에서 고객신용도별 햇살론 
 적용 금리
-변동금리(저축은행 전체 전전월 1년 만기 정기예금 가중평균금리에 연동)
-금리정보는 광고게시 시점 기준으로 산정되었으며, 자세한 금리정보는 해당 금융기관 홈페이지 또는 영업점에서 확인 필요
-일반 햇살론 금리 –0.5% 적용(기준일자 2025.01.03)
매월 금융감독원에서 통보하는 상한금리 이내에서 고객신용도별 햇살론 
 적용 금리
-변동금리(저축은행 전체 전전월 1년 만기 정기예금 가중평균금리에 연동)
-금리정보는 광고게시 시점 기준으로 산정되었으며, 자세한 금리정보는 해당 금융기관 홈페이지 또는 영업점에서 확인 필요",,2금융권
하나저축은행,햇살론,"모바일웹, 모바일 앱, PC웹
모바일웹, 모바일 앱, PC웹",,,"•대출 신청일 현재 최근 1년이내 3개월이상 재직·소득 확인시(농축임어업인추가)이 가능한 만19세 이상 근로자 
다만, 근로소득자는 현 직장 1개월 이상 근로 및 급여수령 필수
•연소득 3,500만원 이하
•연소득 3,500만원 초과 ~ 연소득 4,500만원 이하
•현재 1개 이상의 「신용정보의 이용 및 보호에 관한 법률(이하 ‘신용정보법’)」제2조제5호가목에 따른 개인신용평가회사(「신용정보법」제5조제1항에 따른 전문개인신용평가업을 영위하는 회사는 제외한다. 이와 같다.)가 산정한 개인신용평점이 하위 100분의 20에 해당되는 자
•나이스 신용평점 355점 이상
•제외대상: 부도, 금융채무 불이행자, 파산절차 진행중인 자, 개인회생 및 보증사고 관련자 등 연소득 4500만원 초과 근로자
•대출 신청일 현재 최근 1년이내 3개월이상 재직·소득 확인시(농축임어업인추가)이 가능한 만19세 이상 근로자 
다만, 근로소득자는 현 직장 1개월 이상 근로 및 급여수령 필수
•연소득 3,500만원 이하
•연소득 3,500만원 초과 ~ 연소득 4,500만원 이하
•현재 1개 이상의 「신용정보의 이용 및 보호에 관한 법률(이하 ‘신용정보법’)」제2조제5호가목에 따른 개인신용평가회사(「신용정보법」제5조제1항에 따른 전문개인신용평가업을 영위하는 회사는 제외한다. 이와 같다.)가 산정한 개인신용평점이 하위 100분의 20에 해당되는 자
•나이스 신용평점 355점 이상
•제외대상: 부도, 금융채무 불이행자, 파산절차 진행중인 자, 개인회생 및 보증사고 관련자 등 연소득 4500만원 초과 근로자","변동금리
변동금리",정보 없음,"3년 또는 5년 중 택일 가능
3년 또는 5년 중 택일 가능","•연7.25%~연10%대 (변동, 기준일자: 매월 1일)
※ 대출약정 후 12개월 단위로 금리변동
•대출금리=기준금리+가산금리(12개월 변동금리)
•기준금리: 전전월 저축은행 전체 1년만기 정기예금 가중평균금리(신규취급액기준)
•가산금리: 고객신용평점 등에 따라 달리 적용
•비대면(온라인) 햇살론 진행 시 0.5% 인하
•만 34세 이하 저소득(3,500만원 이하) 근로자 0.2% 인하
* 금리정보는 광고게시 시점 기준으로 산정되었으며, 자세한 금리정보는
 해당 금융기관 홈페이지나 영업점에서 확인이 필요합니다.
•연7.25%~연10%대 (변동, 기준일자: 매월 1일)
※ 대출약정 후 12개월 단위로 금리변동
•대출금리=기준금리+가산금리(12개월 변동금리)
•기준금리: 전전월 저축은행 전체 1년만기 정기예금 가중평균금리(신규취급액기준)
•가산금리: 고객신용평점 등에 따라 달리 적용
•비대면(온라인) 햇살론 진행 시 0.5% 인하
•만 34세 이하 저소득(3,500만원 이하) 근로자 0.2% 인하
* 금리정보는 광고게시 시점 기준으로 산정되었으며, 자세한 금리정보는
 해당 금융기관 홈페이지나 영업점에서 확인이 필요합니다.",,2금융권
BNK저축은행,햇살론,"모바일
모바일",,,"개인신용평점 하위 100분의 20이하(연간소득 4,500만원 이하) 또는 연간소득 3,500만원 이하의 3개월이상 재직중인 근로자
개인신용평점 하위 100분의 20이하(연간소득 4,500만원 이하) 또는 연간소득 3,500만원 이하의 3개월이상 재직중인 근로자","변동금리 (3,6,12개월 단위 선택 가능)
변동금리 (3,6,12개월 단위 선택 가능)",정보 없음,"36개월 또는 60개월
36개월 또는 60개월","연 8%대 ~ 연 11%대(기준일자: 2025.01.01)
[대출금리 : 기준금리 + 가산금리]
연 8%대 ~ 연 11%대(기준일자: 2025.01.01)
[대출금리 : 기준금리 + 가산금리]",,2금융권
NH저축은행,NH온라인햇살론,,,,,,정보 없음,,"연 9% ~ 10%대(변동)
금리정보는 광고게시 시점 기준으로 산정되었으며, 자세한 금리정보는 NH저축은행 홈페이지에서 확인 필요
연 9% ~ 10%대(변동)
금리정보는 광고게시 시점 기준으로 산정되었으며, 자세한 금리정보는 NH저축은행 홈페이지에서 확인 필요",,2금융권
KB저축은행,햇살론(생계자금),"모바일,인터넷,영업점",,,"소득증빙이 가능한 만 19세 이상 내국인, 3개월 이상 계속 근로중인 근로자
연소득 4,500만원 이하이면서 1개사 이상의 CSS 개인신용평점이 하위 20/100인 고객
(단, 연소득이 3,500만원 이하인 경우 신용도와 무관하게 가능)
소득증빙이 가능한 만 19세 이상 내국인, 3개월 이상 계속 근로중인 근로자
 연소득 4,500만원 이하이면서 1개사 이상의 CSS 개인신용평점이 하위 20/100인 고객
(단, 연소득이 3,500만원 이하인 경우 신용도와 무관하게 가능)","변동금리
변동금리",정보 없음,,"일반햇살론 : 연 11.50%
온라인햇살론 : 기존 햇살론 대비 0.5%p 할인(연 11%)
일반햇살론 : 연 11.50%
 온라인햇살론 : 기존 햇살론 대비 0.5%p 할인(연 11%)",,2금융권
